"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 17 17:00:44 MSK 2022","Wed Aug 17 17:00:49 MSK 2022","4721","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive",""
"passed","Wed Aug 17 17:00:45 MSK 2022","Wed Aug 17 17:00:57 MSK 2022","11874","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive2",""
"failed","Wed Aug 17 17:00:39 MSK 2022","Wed Aug 17 17:00:43 MSK 2022","4231","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative6",""
"failed","Wed Aug 17 17:00:38 MSK 2022","Wed Aug 17 17:00:52 MSK 2022","14688","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative5",""
"passed","Wed Aug 17 17:00:55 MSK 2022","Wed Aug 17 17:01:05 MSK 2022","10119","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive5",""
"passed","Wed Aug 17 17:01:00 MSK 2022","Wed Aug 17 17:01:03 MSK 2022","2695","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive7",""
"failed","Wed Aug 17 17:00:40 MSK 2022","Wed Aug 17 17:00:44 MSK 2022","4117","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative7",""
"passed","Wed Aug 17 17:00:49 MSK 2022","Wed Aug 17 17:00:55 MSK 2022","6274","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive3",""
"passed","Wed Aug 17 17:00:57 MSK 2022","Wed Aug 17 17:01:01 MSK 2022","3948","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive6",""
"failed","Wed Aug 17 17:00:31 MSK 2022","Wed Aug 17 17:00:37 MSK 2022","6113","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative",""
"passed","Wed Aug 17 17:00:54 MSK 2022","Wed Aug 17 17:01:00 MSK 2022","6695","chromium","positive.onliner.tests.spec.ts","positive tests","","","testPositive4",""
"failed","Wed Aug 17 17:00:31 MSK 2022","Wed Aug 17 17:00:39 MSK 2022","8039","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative4",""
"failed","Wed Aug 17 17:00:31 MSK 2022","Wed Aug 17 17:00:38 MSK 2022","6941","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative3",""
"broken","Wed Aug 17 17:00:31 MSK 2022","Wed Aug 17 17:01:02 MSK 2022","31176","chromium","negative.onliner.tests.spec.ts","negative tests","","","testNegative2",""
